KDA,Largest Killing Spree,Largest Multi Kill,First Blood,Total Damage to Champions,Physical Damage to Champions,Magic Damage to Champions,True Damage to Champions,Total Damage Dealt,Physical Damage Dealt,Magic Damage Dealt,True Damage Dealt,Largest Critical Strike,Total Damage to Objectives,Total Damage to Turrets,Damage Healed,Damage Taken,Physical Damage Taken,Magic Damage Taken,True Damage Taken,Wards Placed,Wards Destroyed,Stealth Wards Purchased,Control Wards Purchased,Gold Earned,Gold Spent,Minions Killed,Neutral Minions Killed,Neutral Minions Killed in Team's Jungle,Neutral Minions Killed in Enemy Jungle,url,champion
1/3/4,1,1,0,6.3 mil,0.6 mil,3.9 mil,1.8 mil,12.4 mil,1.8 mil,6.6 mil,4.1 mil,-,2.6 mil,0.1 mil,0.6 mil,5.6 mil,2.5 mil,2.9 mil,0.1 mil,30,11,-,8,6.4 mil,5.5 mil,22,-,-,-,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040501?gameHash=0bc40b71da3a7e52&amp;tab=overview&tab=stats,Thresh
2/1/6,2,2.1,0,14.0 mil,9.0 mil,4.0 mil,1.1 mil,178.2 mil,122.3 mil,43.3 mil,12.6 mil,-,3.3 mil,0.0 mil,0.5 mil,27.7 mil,20.4 mil,6.9 mil,0.4 mil,23,1,0,11,12.3 mil,11.1 mil,261,8,3,0,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040511?gameHash=727ae2b21e37499e&amp;tab=overview&tab=stats,Jayce
4/4/5,3,1,0,13.1 mil,0.8 mil,10.6 mil,1.6 mil,185.9 mil,29.4 mil,143.8 mil,12.6 mil,-,17.8 mil,0.5 mil,14.9 mil,30.2 mil,19.5 mil,10.5 mil,0.2 mil,25,5,-,12,12.3 mil,11.6 mil,56,132,98,6,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040511?gameHash=727ae2b21e37499e&amp;tab=overview&tab=stats,Sejuani
5/1/9,5,1,0,28.8 mil,0.4 mil,27.1 mil,1.4 mil,229.4 mil,12.8 mil,211.9 mil,4.6 mil,-,12.8 mil,1.5 mil,10.9 mil,22.7 mil,11.9 mil,10.5 mil,0.3 mil,11,8,-,5,15.3 mil,13.5 mil,304,16,16,-,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040511?gameHash=727ae2b21e37499e&amp;tab=overview&tab=stats,Galio
5/2/6,4,3,1,23.8 mil,16.7 mil,4.9 mil,2.2 mil,236.4 mil,201.3 mil,21.3 mil,13.7 mil,-,17.5 mil,1.0 mil,1.8 mil,18.4 mil,13.9 mil,4.3 mil,0.1 mil,16,14,-,6,15.8 mil,14.3 mil,268,35,31,-,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040511?gameHash=727ae2b21e37499e&amp;tab=overview&tab=stats,Kaisa
0/4/11,0,0,0,5.5 mil,0.7 mil,4.0 mil,0.8 mil,46.3 mil,9.9 mil,9.9 mil,26.6 mil,-,3.5 mil,0.4 mil,3.6 mil,19.5 mil,11.9 mil,6.8 mil,0.8 mil,73,11,-,25,11.7 mil,9.2 mil,78,-,-,-,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040511?gameHash=727ae2b21e37499e&amp;tab=overview&tab=stats,Braum
1/1/4,1,1,0,18.1 mil,17.9 mil,0.3 mil,0.0 mil,242.3 mil,242.0 mil,0.3 mil,0.0 mil,-,5.9 mil,3.4 mil,18.3 mil,30.2 mil,15.9 mil,8.1 mil,6.2 mil,21,7,-,9,15.3 mil,14.8 mil,301,25,3,14,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040511?gameHash=727ae2b21e37499e&amp;tab=overview&tab=stats,Rumble
2/2/6,2,1,0,8.3 mil,7.5 mil,0.6 mil,0.1 mil,206.5 mil,160.9 mil,33.6 mil,12.0 mil,-,34.2 mil,4.8 mil,12.3 mil,34.7 mil,22.6 mil,11.2 mil,0.9 mil,20,15,-,10,14.3 mil,12.8 mil,35,177,106,12,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040511?gameHash=727ae2b21e37499e&amp;tab=overview&tab=stats,XinZhao
3/5/4,3,2,0,26.5 mil,0.2 mil,26.3 mil,0.0 mil,249.5 mil,16.2 mil,231.4 mil,2.0 mil,-,16.2 mil,2.9 mil,4.9 mil,16.6 mil,4.1 mil,12.2 mil,0.3 mil,18,5,-,7,15.1 mil,14.9 mil,291,35,31,-,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040511?gameHash=727ae2b21e37499e&amp;tab=overview&tab=stats,Urgot
4/3/4,3,1,0,24.3 mil,20.1 mil,3.5 mil,0.7 mil,320.0 mil,287.0 mil,18.8 mil,14.3 mil,924,40.3 mil,8.8 mil,1.8 mil,21.4 mil,10.6 mil,10.5 mil,0.3 mil,19,16,-,8,18.1 mil,16.0 mil,309,50,30,4,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040511?gameHash=727ae2b21e37499e&amp;tab=overview&tab=stats,Lucian
2/5/2,2,1,0,4.9 mil,0.6 mil,3.3 mil,1.0 mil,18.4 mil,6.0 mil,9.1 mil,3.3 mil,-,2.9 mil,1.6 mil,1.1 mil,16.4 mil,4.1 mil,11.9 mil,0.4 mil,56,12,-,18,10.5 mil,8.7 mil,48,-,-,-,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040511?gameHash=727ae2b21e37499e&amp;tab=overview&tab=stats,Morgana
1/1/1,1,1.1,0,16.3 mil,15.6 mil,0.7 mil,0.0 mil,231.1 mil,208.8 mil,22.3 mil,0.0 mil.1,-,6.8 mil,3.8 mil,1.9 mil,13.8 mil,10.7 mil,2.8 mil,0.3 mil,18,9,0,6,13.9 mil,13.6 mil,342,12,3,0,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040525?gameHash=109df3fc339ac4d2&amp;tab=overview&tab=stats,Jayce
0/3/0,0,0,0,3.1 mil,1.1 mil,1.7 mil,0.2 mil,132.5 mil,68.2 mil,49.4 mil,14.9 mil,-,17.5 mil,0.0 mil,9.0 mil,23.3 mil,16.2 mil,6.8 mil,0.3 mil,18,17,-,18,8.9 mil,7.8 mil,27,122,97,4,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040525?gameHash=109df3fc339ac4d2&amp;tab=overview&tab=stats,Sejuani
1/3/1,1,1,1,11.6 mil,0.0 mil,11.5 mil,0.0 mil,178.9 mil,4.5 mil,174.4 mil,0.0 mil,-,0.7 mil,0.3 mil,0.4 mil,15.9 mil,13.7 mil,1.8 mil,0.5 mil,17,1,-,6,11.4 mil,10.9 mil,264,12,12,-,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040525?gameHash=109df3fc339ac4d2&amp;tab=overview&tab=stats,Galio
0/2/0,0,0,0,8.6 mil,4.7 mil,3.5 mil,0.4 mil,188.0 mil,154.9 mil,30.9 mil,2.1 mil,402,2.0 mil,0.2 mil,2.8 mil,15.2 mil,10.8 mil,3.9 mil,0.5 mil,13,7,-,2,12.3 mil,12.0 mil,254,42,33,-,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040525?gameHash=109df3fc339ac4d2&amp;tab=overview&tab=stats,Kaisa
0/4/0,0,0,0,3.1 mil,0.0 mil,2.8 mil,0.3 mil,26.6 mil,5.0 mil,5.7 mil,15.8 mil,-,0.0 mil,0.0 mil,3.2 mil,17.1 mil,9.3 mil,7.1 mil,0.7 mil,50,8,-,14,8.9 mil,7.0 mil,57,-,-,-,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1040525?gameHash=109df3fc339ac4d2&amp;tab=overview&tab=stats,Braum
