6/1/8,4,2,0,18100.0,5300.0,12800.0,0.0,139200.0,45600.0,86600.0,7000.0,0,9300.0,6200.0,4800.0,13000.0,6500.0,6300.0,200.0,13,4.1,0,6,12200.0,11300.0,229,8,4.2,0
4/1/8,4,3,0,7800.0,4800.0,400.0,2600.0,119200.0,76700.0,17900.0,24600.0,0,36200.0,1000.0,8600.0,20300.0,15500.0,4700.0,100.0,36,23,0,13,9500.0,8700.0,36,101,68,3
3/1/11,2,2,1,10500.0,3600.0,6700.0,200.0,86400.0,43500.0,37000.0,5800.0,0,12900.0,2600.0,4200.0,15100.0,7200.0,7600.0,300.0,11,3,0,3,9200.0,8700.0,152,0,0,0
5/1/9,5,3,0,16100.000000000002,15300.0,800.0,0.0,157300.0,153100.0,1900.0,2200.0,869,15600.0,7200.0,100.0,8000.0,3100.0,4900.0,0.0,10,8,0,2,12100.0,10300.0,233,24,17,0
1/0/14,1,1,0,4400.0,800.0,3600.0,0.0,16300.0,4900.0,5700.0,5600.0,0,400.0,400.0,1200.0,7200.0,2900.0,4100.0,300.0,30,5,0,8,7000.0,5900.0,24,0,0,0
0/3/2,0,0,0,9600.0,600.0,9100.0,0.0,123900.0,16900.0,103000.0,4000.0,0,10000.0,1200.0,17500.0,22800.0,15900.0,6400.0,500.0,13,3,0,5,8400.0,8100.0,215,8,5,0
1/4/3,1,1,0,5100.0,3800.0,800.0,400.0,125200.0,97800.0,20100.0,7300.0,0,10000.0,500.0,6900.0,21000.0,14000.0,6000.0,900.0,7,5,0,4,8200.0,7800.0,9,140,107,3
3/5/1,2,1,0,11900.0,300.0,11600.0,0.0,101500.0,10700.0,84400.0,6400.0,0,1500.0,0.0,2000.0,13600.0,7300.0,5800.0,600.0,13,4,0,6,9500.0,9100.0,214,4,0,0
0/3/2,0,0,0,9200.0,7100.0,2000.0,100.0,93700.0,85300.0,7700.0,800.0,0,4900.0,2300.0,2000.0,10000.0,5600.0,4200.0,200.0,9,6,0,3,8200.0,7600.0,204,12,4,0
0/4/2,0,0,0,2800.0,400.0,2000.0,400.0,14600.0,2900.0,5700.0,6000.0,0,0.0,0.0,500.0,8400.0,3700.0,4000.0,700.0,36,16,0,16,5100.0,4800.0,39,0,0,0
9/2/5,7,4,1,15100.0,9800.0,300.0,5100.0,166800.0,139900.0,300.0,26500.0,0,22100.0,14500.0,3100.0,15300.0,11700.0,3100.0,400.0,12,3,0,3.1,14900.0,13000.0,225,13,5,0
3/2/3,2,1,0,7100.0,6200.0,400.0,500.0,122100.0,96300.0,16100.000000000002,9700.0,0,15400.0,0.0,7400.0,16800.0,14000.0,2700.0,100.0,23,11,0,12,8800.0,8700.0,23,114,83,7
0/0/12,0,0,0,9500.0,200.0,9300.0,0.0,110400.0,9200.0,100300.0,900.0,0,8200.0,1400.0,1500.0,4700.0,2700.0,2000.0,0.0,11,6,0,5,9200.0,8200.0,188,12,8,4
1/0/10,1,1,0,9900.0,8900.0,400.0,600.0,144200.0,137800.0,2100.0,4300.0,821,11200.0,6800.0,100.0,5800.0,4500.0,1100.0,200.0,12,12,0,4,11300.0,9100.0,260,8,8,0
1/0/9,1,1,0,2000.0,200.0,1800.0,0.0,16200.0,5600.0,5000.0,5500.0,0,2700.0,800.0,2700.0,7500.0,5900.0,1600.0,0.0,35,5,0,11,6700.0,5400.0,25,0,0,0
2/3/4,2,1,0,5600.0,3800.0,1900.0,0.0,132800.0,92500.0,34900.0,5500.0,39,5000.0,4200.0,300.0,18200.0,13000.0,3400.0,1900.0,14,4,0,3,11000.0,10800.0,242,0,0,0
4/3/10,4,1,0,9600.0,500.0,8200.0,1000.0,151700.0,16200.0,124000.0,11600.0,0,18100.0,2400.0,6100.0,14700.0,9700.0,4000.0,1000.0,5,20,0,4,11300.0,8100.0,46,137,92,9
5/1/4,3,2,0,10400.0,4400.0,3800.0,2300.0,170900.0,132600.0,25000.0,13300.0,0,12000.0,5000.0,3700.0,15800.0,10100.0,5500.0,200.0,13,6,0,6,12900.0,10100.0,245,23,5,8
5/2/8,4,1,0,12900.0,8500.0,4300.0,100.0,175000.0,138200.0,25100.0,11700.0,492,34700.0,5200.0,3700.0,11500.0,7800.0,3000.0,600.0,10,3,0,5,13200.0,12100.0,255,24,9,4
1/1/15,1,1,0,5300.0,500.0,3900.0,900.0,29900.0,7300.0,8600.0,14000.0,0,2700.0,2200.0,8900.0,15100.0,8400.0,6200.0,500.0,43,10,0,12,9100.0,7000.0,49,0,0,0
6/4/1,3,1,1,16800.0,14600.0,300.0,1900.0,165900.0,163600.0,300.0,1900.0,0,200.0,200.0,1100.0,18200.0,10500.0,6700.0,1000.0,15,2,0,6,12700.0,12200.0,257,12,12,0
0/2/2,0,0,0,6000.0,200.0,5400.0,500.0,149800.0,18700.0,117300.0,13800.0,0,14000.0,1600.0,8900.0,14700.0,9400.0,4600.0,700.0,13,6,0,12,8400.0,8000.0,31,126,84,8
